"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1380",2018-10-03,87.39,1945359,87.02,"$87.92","$86.82",-0.370000000000005,0,0,0,0,0,0,0,0,0
"1381",2018-10-02,86.71,3206692,87.24,"$87.44","$85.84",0.530000000000001,1,0,0,0,0,0,0,0,0
"1382",2018-10-01,87.61,2459934,89.29,"$89.58","$87.52",1.68000000000001,1,0,0,0,0,0,0,0,0
"1383",2018-09-28,89.06,2091566,88.33,"$89.34","$88.29",-0.730000000000004,0,0,0,0,0,0,0,0,0
"1384",2018-09-27,88.34,2156242,88.93,"$89.99","$88.24",0.590000000000003,1,0,0,0,0,0,0,0,0
"1385",2018-09-26,88.97,2030681,88.85,"$89.46","$88.46",-0.120000000000005,0,0,0,0,0,0,0,0,0
"1386",2018-09-25,87.92,2056435,87.83,"$88.04","$86.8205",-0.0900000000000034,0,1,0,0,0,0,0,0,0
"1387",2018-09-24,87.84,3534877,89.83,"$89.83","$87.0299",1.98999999999999,1,0,0,0,0,0,0,0,0
"1388",2018-09-21,89.94,4690350,89.57,"$90.25","$87.11",-0.370000000000005,0,0,0,0,0,0,0,0,0
"1389",2018-09-20,89.12,2409841,89.84,"$89.9244","$88.91",0.719999999999999,1,0,0,0,0,0,0,0,0
"1390",2018-09-19,89.35,2545614,90.02,"$90.61","$89.18",0.670000000000002,1,0,0,0,0,0,0,0,0
"1391",2018-09-18,90.11,1933472,89.34,"$90.53","$88.65",-0.769999999999996,0,0,0,0,0,0,0,0,0
"1392",2018-09-17,90.16,1646261,90.5,"$91.389","$89.94",0.340000000000003,1,0,0,0,0,0,0,0,0
"1393",2018-09-14,90.33,2432420,89.74,"$90.48","$89.49",-0.590000000000003,0,0,0,0,0,0,0,0,0
"1394",2018-09-13,89.58,3570356,87.98,"$90.20","$87.83",-1.59999999999999,0,0,0,0,0,0,0,0,0
"1395",2018-09-12,87.8,2463152,88.9,"$89.21","$87.44",1.10000000000001,1,0,0,0,0,0,0,0,0
"1396",2018-09-11,89.12,3513429,87.96,"$89.35","$87.8319",-1.16000000000001,0,0,0,0,0,0,0,0,0
"1397",2018-09-10,88.09,3204868,87.68,"$88.45","$87.15",-0.409999999999997,0,0,0,0,0,0,0,0,0
"1398",2018-09-07,87.68,2438410,87.01,"$89.48","$86.50",-0.670000000000002,0,0,0,0,0,0,0,0,0
"1399",2018-09-06,87.13,5628999,88.16,"$88.44","$86.50",1.03,1,0,0,0,0,0,0,0,0
"1400",2018-09-05,88.19,4088049,88.64,"$89.075","$86.26",0.450000000000003,1,0,0,0,0,0,0,0,0
"1401",2018-09-04,88.3,3083305,87.84,"$88.84","$87.66",-0.459999999999994,0,0,0,0,0,0,0,0,0
